config_index,train_split,batch_size,learning_rate,weight_decay,best_val_accuracy,final_val_accuracy,runtime_seconds,checkpoint_path,seed
15,train,128,0.05,1e-05,0.8518,0.8494,609.818664299999,checkpoints\cifar10\forget_mixed\grid_search_train_cfg15\seed_0.pth,0
5,train,64,0.05,1e-05,0.8512,0.83,644.8158681999994,checkpoints\cifar10\forget_mixed\grid_search_train_cfg05\seed_0.pth,0
25,train,256,0.05,1e-05,0.8436,0.8416,614.5164747999988,checkpoints\cifar10\forget_mixed\grid_search_train_cfg25\seed_0.pth,0
7,train,64,0.1,1e-05,0.8416,0.8416,658.5021166000006,checkpoints\cifar10\forget_mixed\grid_search_train_cfg07\seed_0.pth,0
17,train,128,0.1,1e-05,0.8396,0.8378,610.3751506999997,checkpoints\cifar10\forget_mixed\grid_search_train_cfg17\seed_0.pth,0
27,train,256,0.1,1e-05,0.8394,0.8386,615.0832551999993,checkpoints\cifar10\forget_mixed\grid_search_train_cfg27\seed_0.pth,0
3,train,64,0.01,1e-05,0.8346,0.8144,770.8954349999995,checkpoints\cifar10\forget_mixed\grid_search_train_cfg03\seed_0.pth,0
4,train,64,0.01,0.005,0.8306,0.8306,644.9510035000003,checkpoints\cifar10\forget_mixed\grid_search_train_cfg04\seed_0.pth,0
9,train,64,0.5,1e-05,0.8288,0.804,646.9139259000003,checkpoints\cifar10\forget_mixed\grid_search_train_cfg09\seed_0.pth,0
14,train,128,0.01,0.005,0.8178,0.761,610.1789520000002,checkpoints\cifar10\forget_mixed\grid_search_train_cfg14\seed_0.pth,0
13,train,128,0.01,1e-05,0.8086,0.807,609.9338575000002,checkpoints\cifar10\forget_mixed\grid_search_train_cfg13\seed_0.pth,0
24,train,256,0.01,0.005,0.7954,0.7914,615.3416168000003,checkpoints\cifar10\forget_mixed\grid_search_train_cfg24\seed_0.pth,0
29,train,256,0.5,1e-05,0.7756,0.7732,614.8279613000013,checkpoints\cifar10\forget_mixed\grid_search_train_cfg29\seed_0.pth,0
23,train,256,0.01,1e-05,0.7734,0.7706,614.9756542000032,checkpoints\cifar10\forget_mixed\grid_search_train_cfg23\seed_0.pth,0
2,train,64,0.001,0.005,0.7704,0.7324,770.1310788999999,checkpoints\cifar10\forget_mixed\grid_search_train_cfg02\seed_0.pth,0
26,train,256,0.05,0.005,0.7652,0.6826,614.7645621000011,checkpoints\cifar10\forget_mixed\grid_search_train_cfg26\seed_0.pth,0
16,train,128,0.05,0.005,0.7438,0.5272,609.1442308000005,checkpoints\cifar10\forget_mixed\grid_search_train_cfg16\seed_0.pth,0
19,train,128,0.5,1e-05,0.7282,0.7282,609.5966430999979,checkpoints\cifar10\forget_mixed\grid_search_train_cfg19\seed_0.pth,0
1,train,64,0.001,1e-05,0.7212,0.7056,719.5860405000003,checkpoints\cifar10\forget_mixed\grid_search_train_cfg01\seed_0.pth,0
28,train,256,0.1,0.005,0.7098,0.6248,614.6662905999983,checkpoints\cifar10\forget_mixed\grid_search_train_cfg28\seed_0.pth,0
12,train,128,0.001,0.005,0.6964,0.6924,610.3859123000002,checkpoints\cifar10\forget_mixed\grid_search_train_cfg12\seed_0.pth,0
11,train,128,0.001,1e-05,0.6756,0.673,610.146480200001,checkpoints\cifar10\forget_mixed\grid_search_train_cfg11\seed_0.pth,0
6,train,64,0.05,0.005,0.6494,0.5846,645.2522270000009,checkpoints\cifar10\forget_mixed\grid_search_train_cfg06\seed_0.pth,0
22,train,256,0.001,0.005,0.6472,0.6448,614.4858485000004,checkpoints\cifar10\forget_mixed\grid_search_train_cfg22\seed_0.pth,0
21,train,256,0.001,1e-05,0.6356,0.6344,614.7291501,checkpoints\cifar10\forget_mixed\grid_search_train_cfg21\seed_0.pth,0
18,train,128,0.1,0.005,0.5952,0.497,609.0756227999991,checkpoints\cifar10\forget_mixed\grid_search_train_cfg18\seed_0.pth,0
8,train,64,0.1,0.005,0.5204,0.3216,645.5584183999999,checkpoints\cifar10\forget_mixed\grid_search_train_cfg08\seed_0.pth,0
30,train,256,0.5,0.005,0.2972,0.1902,611.4841901,checkpoints\cifar10\forget_mixed\grid_search_train_cfg30\seed_0.pth,0
20,train,128,0.5,0.005,0.2044,0.1,607.0453001999995,checkpoints\cifar10\forget_mixed\grid_search_train_cfg20\seed_0.pth,0
10,train,64,0.5,0.005,0.1,0.1,643.8080664999998,checkpoints\cifar10\forget_mixed\grid_search_train_cfg10\seed_0.pth,0
