sample_id,dataset,source_partition,label_field,label_id,label_name,raw_index,relative_path
cifar10-train-00000,cifar10,official_train,label,6,frog,0,
cifar10-train-00001,cifar10,official_train,label,9,truck,1,
cifar10-train-00002,cifar10,official_train,label,9,truck,2,
cifar10-train-00003,cifar10,official_train,label,4,deer,3,
cifar10-train-00004,cifar10,official_train,label,1,automobile,4,
cifar10-train-00005,cifar10,official_train,label,1,automobile,5,
cifar10-train-00006,cifar10,official_train,label,2,bird,6,
cifar10-train-00007,cifar10,official_train,label,7,horse,7,
cifar10-train-00008,cifar10,official_train,label,8,ship,8,
cifar10-train-00009,cifar10,official_train,label,3,cat,9,
cifar10-train-00010,cifar10,official_train,label,4,deer,10,
cifar10-train-00011,cifar10,official_train,label,7,horse,11,
cifar10-train-00012,cifar10,official_train,label,7,horse,12,
cifar10-train-00013,cifar10,official_train,label,2,bird,13,
cifar10-train-00014,cifar10,official_train,label,9,truck,14,
cifar10-train-00015,cifar10,official_train,label,9,truck,15,
cifar10-train-00016,cifar10,official_train,label,9,truck,16,
cifar10-train-00017,cifar10,official_train,label,3,cat,17,
cifar10-train-00018,cifar10,official_train,label,2,bird,18,
cifar10-train-00019,cifar10,official_train,label,6,frog,19,
cifar10-train-00020,cifar10,official_train,label,4,deer,20,
cifar10-train-00021,cifar10,official_train,label,3,cat,21,
cifar10-train-00022,cifar10,official_train,label,6,frog,22,
cifar10-train-00023,cifar10,official_train,label,6,frog,23,
cifar10-train-00024,cifar10,official_train,label,2,bird,24,
cifar10-train-00025,cifar10,official_train,label,6,frog,25,
cifar10-train-00026,cifar10,official_train,label,3,cat,26,
cifar10-train-00027,cifar10,official_train,label,5,dog,27,
cifar10-train-00028,cifar10,official_train,label,4,deer,28,
cifar10-train-00029,cifar10,official_train,label,0,airplane,29,
cifar10-train-00030,cifar10,official_train,label,0,airplane,30,
cifar10-train-00031,cifar10,official_train,label,9,truck,31,
cifar10-train-00032,cifar10,official_train,label,1,automobile,32,
cifar10-train-00033,cifar10,official_train,label,3,cat,33,
cifar10-train-00034,cifar10,official_train,label,4,deer,34,
cifar10-train-00035,cifar10,official_train,label,0,airplane,35,
cifar10-train-00036,cifar10,official_train,label,3,cat,36,
cifar10-train-00037,cifar10,official_train,label,7,horse,37,
cifar10-train-00038,cifar10,official_train,label,3,cat,38,
cifar10-train-00039,cifar10,official_train,label,3,cat,39,
cifar10-train-00040,cifar10,official_train,label,5,dog,40,
cifar10-train-00041,cifar10,official_train,label,2,bird,41,
